Id,TempSensor1,TempSensor2,TempSensor3,TempSensorAvg,Humidity,Pressure,Altitude,SeaLevelPressure,Lux,TimeStamp
49176,20.2,19.4,20,19.86667,64.7,101620,-24.03285,101609,1161.106,2015-10-13 20:35:08.947
49175,20.1,19.3,19.812,19.73733,64.7,101624,-24.53122,101621,0,2015-10-13 20:34:16.693
49174,19.9,19.1,19.812,19.604,64.1,101620,-24.19898,101608,0,2015-10-13 20:33:06.810
49173,19.8,19,19.812,19.53733,63.7,101613,-24.11592,101619,0,2015-10-13 20:32:06.157
49172,19.8,18.9,19.75,19.48333,63.6,101627,-24.61428,101622,0,2015-10-13 20:31:06.593
49171,19.8,18.8,19.687,19.429,63.6,101620,-24.3651,101621,0,2015-10-13 20:30:10.717
49170,19.7,19,19.687,19.46233,73.3,101704,-31.17381,101698,155.4231,2015-10-13 17:32:09.047
49169,19.5,18.9,19.625,19.34167,72.3,101700,-31.17381,101695,0,2015-10-13 17:31:05.990
49168,19.5,18.8,19.562,19.28733,72.3,101694,-30.84178,101695,0,2015-10-13 17:30:09.250
49167,19.4,18.6,19.5,19.16667,71.4,101700,-30.75877,101698,907.5353,2015-10-13 17:29:07.153
49166,19.4,18.5,19.437,19.11233,71.4,101699,-30.50974,101693,826.8344,2015-10-13 17:28:08.520
49165,19.3,18.4,19.375,19.025,70.8,101705,-31.17381,101696,865.8687,2015-10-13 17:27:07.253
49164,19.5,18.5,19.562,19.18733,72.4,101680,-29.09846,101681,0.0315,2015-10-13 16:30:11.197
49163,19.5,18.5,19.5,19.16667,72.3,101685,-29.84563,101682,0.0315,2015-10-13 16:29:06.477
49162,19.5,18.6,19.562,19.22067,72.4,101683,-29.6796,101685,0.0315,2015-10-13 16:28:05.887
49161,19.5,18.6,19.5,19.2,72.3,101685,-29.92865,101685,0.0315,2015-10-13 16:27:11.263
49160,19.5,18.6,19.562,19.22067,72.3,101690,-30.01166,101688,0.0315,2015-10-13 16:26:08.600
49159,19.5,18.6,19.562,19.22067,72.4,101696,-29.84563,101690,0.0315,2015-10-13 16:25:06.480
49158,19.5,18.6,19.562,19.22067,72.4,101693,-30.42673,101692,0.0315,2015-10-13 16:24:06.007
49157,19.5,18.6,19.5,19.2,72.5,101695,-30.17769,101690,0.0315,2015-10-13 16:23:06.497
49156,19.5,18.6,19.562,19.22067,72.5,101700,-30.50974,101690,0.0315,2015-10-13 16:22:06.033
49155,19.5,18.6,19.562,19.22067,72.4,101697,-30.75877,101693,0.0315,2015-10-13 16:21:06.473
49154,19.5,18.6,19.562,19.22067,72.5,101704,-30.75877,101694,0.0315,2015-10-13 16:20:06.020
49153,19.5,18.6,19.562,19.22067,72.4,101699,-31.25682,101701,0.0315,2015-10-13 16:19:06.550
49152,19.5,18.6,19.562,19.22067,72.5,101704,-30.84178,101699,0.0315,2015-10-13 16:18:06.047
49151,19.5,18.6,19.562,19.22067,72.5,101705,-31.33982,101699,0.0315,2015-10-13 16:17:08.497
49150,19.5,18.6,19.562,19.22067,72.4,101701,-31.17381,101699,0.0315,2015-10-13 16:16:09.290
49149,19.5,18.6,19.562,19.22067,72.4,101703,-31.17381,101700,0.0315,2015-10-13 16:15:09.147
49148,19.5,18.6,19.562,19.22067,72.4,101700,-30.75877,101695,0.0315,2015-10-13 16:14:14.090
49147,19.5,18.6,19.562,19.22067,72.4,101701,-30.84178,101695,0.0315,2015-10-13 16:13:08.990
49146,19.5,18.6,19.562,19.22067,72.3,101703,-30.92479,101694,0.0315,2015-10-13 16:12:06.037
49145,19.5,18.6,19.562,19.22067,72.1,101698,-30.67576,101693,0.0315,2015-10-13 16:11:06.420
49144,19.6,18.6,19.562,19.254,72,101694,-30.09468,101690,0.0315,2015-10-13 16:10:06.863
49143,19.5,18.6,19.625,19.24167,71.9,101696,-30.67576,101691,0.0315,2015-10-13 16:09:06.040
49142,19.5,18.6,19.562,19.22067,71.8,101692,-30.09468,101690,0.0315,2015-10-13 16:08:06.473
49141,19.6,18.6,19.562,19.254,71.4,101691,-30.01166,101687,0.0315,2015-10-13 16:06:08.107
49140,20.5,19.2,20.187,19.96233,73,101633,-25.27872,101625,0.1989,2015-10-13 14:43:08.527
49139,20.6,19.2,20.187,19.99567,74.6,101628,-24.53122,101625,0.1989,2015-10-13 14:42:06.443
49138,20.6,19.3,20.25,20.05,74.6,101628,-25.11261,101630,0.1989,2015-10-13 14:41:11.013
49137,20.7,19.3,20.312,20.104,77.3,101629,-24.78039,101624,0.1989,2015-10-13 14:40:07.353
49136,20.8,19.3,20.312,20.13733,78.4,101626,-25.11261,101628,0.1989,2015-10-13 14:39:05.993
49135,20.8,19.4,20.312,20.17067,78.5,101633,-25.19567,101627,0.1989,2015-10-13 14:38:08.507
49134,20.9,19.4,20.375,20.225,80.5,101629,-24.86345,101627,0.1989,2015-10-13 14:37:08.430
49133,21,19.5,20.437,20.31233,83.8,101624,-24.78039,101622,0.1989,2015-10-13 14:36:06.357
49132,21,19.6,20.437,20.34567,83.9,101623,-24.53122,101619,0.1989,2015-10-13 14:35:08.930
49131,21.2,19.8,20.5,20.5,88.2,101627,-24.86345,101618,0.1989,2015-10-13 14:34:05.930
49130,21.3,20,20.562,20.62067,88.9,101633,-24.61428,101633,0.1989,2015-10-13 14:33:06.407
49129,21.3,20.2,20.625,20.70833,89.3,101633,-25.11261,101632,0.1989,2015-10-13 14:32:05.897
49128,21.4,20.3,20.687,20.79567,90.5,101630,-24.78039,101622,0.1989,2015-10-13 14:31:06.357
49127,21.4,20.5,20.75,20.88333,92.2,101629,-24.19898,101627,0.1989,2015-10-13 14:30:06.860
49126,21.4,20.8,20.875,21.025,93.4,101629,-25.27872,101627,0.1989,2015-10-13 14:29:06.323
49125,21.4,20.9,20.937,21.079,93.4,101639,-25.36177,101632,0.1989,2015-10-13 14:28:08.710
49124,21.5,21.1,21,21.2,96.2,101633,-25.61093,101629,0.1989,2015-10-13 14:27:11.620
49123,21.5,21.3,21.062,21.28733,96.2,101637,-25.27872,101634,0.1989,2015-10-13 14:26:11.103
49122,21.6,21.5,21.25,21.45,97.7,101631,-25.36177,101630,0.1989,2015-10-13 14:25:09.350
49121,21.2,21.8,21.375,21.45833,97.6,101630,-25.11261,101633,0.1989,2015-10-13 14:24:06.127
49120,20.8,21.9,21.312,21.33733,95.5,101628,-25.27872,101629,0.1989,2015-10-13 14:23:06.497
49119,20.3,21.5,20.937,20.91233,89.7,101631,-25.44483,101628,0.1989,2015-10-13 14:22:06.010
49118,20.3,20.7,20.437,20.479,89.5,101627,-24.69733,101621,4.08772,2015-10-13 14:21:08.547
49117,19.8,19.8,20,19.86667,57.2,101622,-24.61428,101619,1622.196,2015-10-13 14:20:06.500
