TempSensorAvg,TimeStamp
19.86667,2:20:07 PM
20.479,2:21:09 PM
20.91233,2:22:06 PM
21.33733,2:23:06 PM
21.45833,2:24:06 PM
21.45,2:25:09 PM
21.28733,2:26:11 PM
21.2,2:27:12 PM
21.079,2:28:09 PM
21.025,2:29:06 PM
20.88333,2:30:07 PM
20.79567,2:31:06 PM
20.70833,2:32:06 PM
20.62067,2:33:06 PM
20.5,2:34:06 PM
20.34567,2:35:09 PM
20.31233,2:36:06 PM
20.225,2:37:08 PM
20.17067,2:38:09 PM
20.13733,2:39:06 PM
20.104,2:40:07 PM
20.05,2:41:11 PM
19.99567,2:42:06 PM
19.96233,2:43:09 PM
19.254,4:06:08 PM
19.22067,4:08:06 PM
19.24167,4:09:06 PM
19.254,4:10:07 PM
19.22067,4:11:06 PM
19.22067,4:12:06 PM
19.22067,4:13:09 PM
19.22067,4:14:14 PM
19.22067,4:15:09 PM
19.22067,4:16:09 PM
19.22067,4:17:08 PM
19.22067,4:18:06 PM
19.22067,4:19:07 PM
19.22067,4:20:06 PM
19.22067,4:21:06 PM
19.22067,4:22:06 PM
19.2,4:23:06 PM
19.22067,4:24:06 PM
19.22067,4:25:06 PM
19.22067,4:26:09 PM
19.2,4:27:11 PM
19.22067,4:28:06 PM
19.16667,4:29:06 PM
19.18733,4:30:11 PM
19.025,5:27:07 PM
19.11233,5:28:09 PM
19.16667,5:29:07 PM
19.28733,5:30:09 PM
19.34167,5:31:06 PM
19.46233,5:32:09 PM
19.429,8:30:11 PM
19.48333,8:31:07 PM
19.53733,8:32:06 PM
19.604,8:33:07 PM
19.73733,8:34:17 PM
19.86667,8:35:09 PM
